row_number,original_prompt,ai_analysis_method,detected_entities,detected_actions,character_count,complexity_score,complexity_rate,processing_timestamp,processing_status
30,"As a collection curator, I want to see the scheduled records deletion date be displayed on the item and component pages.",Hugging Face Transformers,"Collection, Deletion","start, process, end",120,5,1.04,2025-09-14 10:51:11,success
31,"As a Developer, I want an EPrints integration, so that I can integrate data-packaged data with pipelines that use EPrints.",Hugging Face Transformers,"Integration, Developer, EPrints, Data","start, process, end",122,7,1.45,2025-09-14 10:51:11,success
32,"As a repository manager, I want to know all the components belonging to an object.",Hugging Face Transformers,"Manager, Object","start, process, end",82,5,1.13,2025-09-14 10:51:11,success
33,"As an agency user, I want to leave off the last 4 digits of the ZIP without an error, so that I can complete my submissions.",Hugging Face Transformers,"ZIP, Submissions","start, process, end",124,5,1.04,2025-09-14 10:51:11,success
34,"As a parent, I want to be able to submit various types of forms to the camp management.",Hugging Face Transformers,Management,submit,87,2,0.45,2025-09-14 10:51:12,success
35,"As a Zoning Staff member, I want to issue the Zoning-Related Permits, so that I can satisfy an Applicant's request for service that has proven to be eligible and in compliance with the Zoning Ordinance.",Hugging Face Transformers,"Ordinance, Permits, Applicant, Service, Related","start, process, end",202,10,1.88,2025-09-14 10:51:12,success
36,"As an Owner, I want to design an activity diagram for the Customer Simple Order Processing process, so that I can understand the flow of basic order handling.",Hugging Face Transformers,"Order, Processing, Customer, Simple, Owner","design, process",158,7,1.38,2025-09-14 10:51:12,success
37,"As an Owner, I want to design an activity diagram for the ATM Withdrawal Process, so that I can visualize how customers interact with an ATM during withdrawal.",Hugging Face Transformers,"ATM, Withdrawal, Process, Owner","design, process",159,6,1.18,2025-09-14 10:51:13,success
38,"As an Owner, I want to design an activity diagram for the Library Book Borrowing process, so that I can clearly track how users borrow books.",Hugging Face Transformers,"Book, Borrowing, Owner, Library","design, process",141,6,1.21,2025-09-14 10:51:13,success
39,"As an Owner, I want to design an activity diagram for the Online Shopping system, so that I can understand the key steps in a customer's online purchase journey.",Hugging Face Transformers,"Online, System, Shopping, Owner",design,161,5,0.98,2025-09-14 10:51:13,success
40,"As an Owner, I want to design an activity diagram for the Hotel Booking system, so that I can capture the booking flow from selection to confirmation.",Hugging Face Transformers,"System, Selection, Confirmation, Booking, Hotel",design,150,7,1.4,2025-09-14 10:51:14,success
41,"As an Owner, I want to design an activity diagram for the Ticket Vending Machine's Purchasing Ticket use case, so that I can model the interaction and ticket issuance.",Hugging Face Transformers,"Purchasing, Interaction, Ticket, Model, Machine",design,167,8,1.56,2025-09-14 10:51:14,success
42,"As an Owner, I want to design an activity diagram for the Purchase Order Processing process, so that I can identify each step involved in fulfilling orders.",Hugging Face Transformers,"Order, Processing, Purchase, Owner","design, process",156,7,1.38,2025-09-14 10:51:14,success
43,"As an Owner, I want to design an activity diagram for the Document Management Process, so that I can organize how documents are stored, retrieved, and modified.",Hugging Face Transformers,"Process, Document, Management, Documents, Owner","design, process",160,8,1.57,2025-09-14 10:51:15,success
44,"As an Owner, I want to design an activity diagram for resolving an issue in software design in a software system, so that I can visualize the debugging and resolution workflow.",Hugging Face Transformers,"System, Owner, Resolution","design, design",176,4,0.77,2025-09-14 10:51:15,success
45,"As a Developer, I want to design an activity diagram for the method that handles incoming HTTP requests, so that I can understand and optimize request processing in the application.",Hugging Face Transformers,"Developer, Application, HTTP",design,181,4,0.77,2025-09-14 10:51:16,success
46,"As a Product Manager, I want to design an activity diagram for the online shopping process, so that I can visualize the entire customer journey from product selection to checkout.",Hugging Face Transformers,"Manager, Product, Selection","design, process",179,6,1.16,2025-09-14 10:51:16,success
47,"As a Security Analyst, I want to design an activity diagram for user login using email and password, so that I can ensure the process is secure and user-friendly.",Hugging Face Transformers,"Analyst, Security","design, login, process",162,5,0.98,2025-09-14 10:51:16,success
48,"As a System Administrator, I want to design an activity diagram for the backup process, including file backup, database export, and log generation, so that I can ensure all tasks are performed reliably and in the correct sequence.",Hugging Face Transformers,"Database, System, Generation, Administrator","design, process",230,6,1.1,2025-09-14 10:51:17,success
49,"As an E-commerce Analyst, I want to design an activity diagram for the online order process from browsing to shipping, so that I can analyze and improve the customer experience and fulfillment flow.",Hugging Face Transformers,"Fulfillment, Shipping, Analyst","design, process",198,5,0.94,2025-09-14 10:51:17,success
50,"As a Game Store Manager, I want to design an activity diagram for the online game purchase process, so that I can understand the steps involved and ensure a seamless buying experience for users.",Hugging Face Transformers,"Manager, Game, Store","store, design, process",194,6,1.14,2025-09-14 10:51:17,success
